"";"V0011";"V0300";"V0010";"V6036";"mun7";"V0601f";"ge_pia"
"254134";"2408102004014";2770250;31,8476294443075;0;2408102;"Masculino";"[0,15)"
"254153";"2408102004014";2886130;16,2181927800181;0;2408102;"Feminino";"[0,15)"
"254174";"2408102004014";2933418;24,4031406779105;0;2408102;"Masculino";"[0,15)"
"254230";"2408102004014";3204191;17,1115695621602;0;2408102;"Masculino";"[0,15)"
"254284";"2408102004014";3367612;18,9807842173428;0;2408102;"Feminino";"[0,15)"
"254312";"2408102004014";3565449;22,9488719453282;0;2408102;"Masculino";"[0,15)"
"254436";"2408102004014";3990823;29,3199043857537;0;2408102;"Feminino";"[0,15)"
"254613";"2408102004014";4707033;13,7914008957117;0;2408102;"Feminino";"[0,15)"
"254637";"2408102004014";4757255;19,3829708503587;0;2408102;"Masculino";"[0,15)"
"254657";"2408102004014";4778277;19,1389374971153;0;2408102;"Feminino";"[0,15)"
"254711";"2408102004014";4922160;31,670656755158;0;2408102;"Masculino";"[0,15)"
"254862";"2408102004014";5599697;36,4009765189935;0;2408102;"Masculino";"[0,15)"
"254940";"2408102004014";5905544;24,9115386829477;0;2408102;"Feminino";"[0,15)"
"255005";"2408102004014";6117673;20,3994071673875;0;2408102;"Masculino";"[0,15)"
"255110";"2408102004015";231666;14,1957925139163;0;2408102;"Feminino";"[0,15)"
"255119";"2408102004015";283877;9,6698276382114;0;2408102;"Masculino";"[0,15)"
"255303";"2408102004015";1058573;17,2684354908109;0;2408102;"Feminino";"[0,15)"
"255486";"2408102004015";1853876;14,8423878453853;0;2408102;"Masculino";"[0,15)"
"255580";"2408102004015";2227155;25,3137975715563;0;2408102;"Masculino";"[0,15)"
"255699";"2408102004015";2948020;24,3043001301849;0;2408102;"Masculino";"[0,15)"
"255870";"2408102004015";3691568;15,5834205385822;0;2408102;"Feminino";"[0,15)"
"255917";"2408102004015";3896082;12,0951339075914;0;2408102;"Feminino";"[0,15)"
"255987";"2408102004015";4025598;17,7316510453422;0;2408102;"Feminino";"[0,15)"
"256022";"2408102004015";4137657;14,3851871092722;0;2408102;"Feminino";"[0,15)"
"256026";"2408102004015";4139717;19,9889813679436;0;2408102;"Masculino";"[0,15)"
"256027";"2408102004015";4139717;19,9889813679436;0;2408102;"Feminino";"[0,15)"
"256028";"2408102004015";4139717;19,9889813679436;0;2408102;"Masculino";"[0,15)"
"256050";"2408102004015";4260457;14,8244147193103;0;2408102;"Masculino";"[0,15)"
"256154";"2408102004015";4769896;25,4646256511028;0;2408102;"Feminino";"[0,15)"
